,Variant,Make_Month,No_of_Owners,Color,Type_of_Car,Transmission,Insurance_Type,Condition,Registration_Place,Power_steering,Cruise_Control,Navigation_System,Adjustable_Steering,Automatic_Boot,Air_Conditioning,Power_Windows,Sunroof,Fog_Lamps,Alloy_Wheels,Adjustable_External_Mirror,Display_Screen,Bluetooth,AMFM_adio,USB_Compatibility,Aux_Compatibility,ABS,Anti_Theft_Device,Rear_Parking_Camera,Parking_Sensors,Lock_System,Number_of_Airbags,Flood_Affected,Accidental,Registration_Transfer,Insurance,Finance,Exchange,Brand,Model,Year,Fuel,KM_driven,Price
356,WagonR1.0LXiCNG,June,First,Bordeaux/Maroon,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,,,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2017,CNG & Hybrids,"14,000 km",399000
357,ErtigaVxiCNG,May,First,Blue,SUV,Manual,Comprehensive,Used,MH,Yes,Yes,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"54,000 km",620000
358,SwiftDzireVXI,March,First,Grey,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,,,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,,,,RemoteControlledCentral,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2013,CNG & Hybrids,"97,000 km",390000
359,WagonR1.0LXiCNG,April,First,Gold,Hatchback,Manual,Comprehensive,Used,MH,,,,,,AutomaticClimateControl,Front&rear,,,,Manual,,,,Yes,Yes,,Yes,,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"18,000 km",375000
360,SwiftVXi,July,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"18,000 km",370000
361,SwiftDzireZDI,October,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Manual,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",545000
362,ErtigaVDi,July,First,Grey,SUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,Yes,Yes,Maruti Suzuki,Ertiga,2017,Diesel,"41,700 km",809000
363,ErtigaVxi,December,First,Red,Hatchback,Automatic,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1095033
364,SwiftVXi,July,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"18,000 km",370000
365,SwiftDzireVDI,November,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",550000
366,ErtigaVxi,March,First,Blue,MUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,Yes,Yes,,,,,RemoteControlledCentral,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Ertiga,2013,Petrol,"64,000 km",480000
